player_id,game_mode,region,snapshot_time,rating
24241026,0,NA,2026-08-05 03:37:34.338321+00,12653
9793,0,NA,2026-08-05 03:37:34.338324+00,12601
3144,0,NA,2026-08-05 03:37:34.338327+00,12587
4221389,0,NA,2026-08-05 03:37:34.33833+00,12563
3635192,0,NA,2026-08-05 03:37:35.95535+00,12562
12615139,0,NA,2026-08-05 03:37:35.955372+00,12494
6862705,0,NA,2026-08-05 03:37:35.955378+00,12485
12193312,0,NA,2026-08-05 03:37:35.955381+00,12483
8191930,0,NA,2026-08-05 03:37:35.955384+00,12462
8749,0,NA,2026-08-05 03:37:35.955387+00,12451
5304076,0,NA,2026-08-05 03:37:35.95539+00,12431
7922,0,NA,2026-08-05 03:37:35.955393+00,12387
299696440,0,NA,2026-08-05 03:37:35.955395+00,12383
2980,0,NA,2026-08-05 03:37:35.955398+00,12382
2831,0,NA,2026-08-05 03:37:35.9554+00,12370
11004,0,NA,2026-08-05 03:37:35.955404+00,12366
33790979,0,NA,2026-08-05 03:37:35.955408+00,12363
334709464,0,NA,2026-08-05 03:37:35.95541+00,12346
274617423,0,NA,2026-08-05 03:37:35.955413+00,12338
8045,0,NA,2026-08-05 03:37:35.955416+00,12333
134664160,0,NA,2026-08-05 03:37:35.955419+00,12260
25616498,0,NA,2026-08-05 03:37:35.955422+00,12227
430323911,0,NA,2026-08-05 03:37:35.955425+00,12227
4844239,0,NA,2026-08-05 03:37:35.955427+00,12196
350550356,0,NA,2026-08-05 03:37:35.95543+00,12191
344819892,0,NA,2026-08-05 03:37:35.955433+00,12184
3173907,0,NA,2026-08-05 03:37:35.955435+00,12167
286420110,0,NA,2026-08-05 03:37:35.955438+00,12146
152653579,0,NA,2026-08-05 03:37:35.955441+00,12142
349106359,0,NA,2026-08-05 03:37:36.933068+00,12135
174144731,0,NA,2026-08-05 03:37:36.933096+00,12126
8841235,0,NA,2026-08-05 03:37:36.9331+00,12119
3284,0,NA,2026-08-05 03:37:36.933103+00,12118
9223,0,NA,2026-08-05 03:37:36.933106+00,12117
81993492,0,NA,2026-08-05 03:37:36.933109+00,12102
8733,0,NA,2026-08-05 03:37:36.933112+00,12083
9076,0,NA,2026-08-05 03:37:36.933115+00,12083
192268475,0,NA,2026-08-05 03:37:36.933117+00,12079
2958,0,NA,2026-08-05 03:37:36.933124+00,12069
141,0,NA,2026-08-05 03:37:36.933127+00,12068
9070,0,NA,2026-08-05 03:37:36.93313+00,12064
298944715,0,NA,2026-08-05 03:37:36.933132+00,12062
22840595,0,NA,2026-08-05 03:37:36.933135+00,12060
7482769,0,NA,2026-08-05 03:37:36.933138+00,12050
305579880,0,NA,2026-08-05 03:37:36.933141+00,12048
51853059,0,NA,2026-08-05 03:37:36.933144+00,12021
192383097,0,NA,2026-08-05 03:37:36.933147+00,12016
3174955,0,NA,2026-08-05 03:37:36.93315+00,12007
3191,0,NA,2026-08-05 03:37:36.933153+00,12002
129153872,0,NA,2026-08-05 03:37:36.933155+00,12002
414326893,0,NA,2026-08-05 03:37:36.933158+00,11989
3286,0,NA,2026-08-05 03:37:36.933161+00,11989
3173843,0,NA,2026-08-05 03:37:36.933163+00,11942
34863216,0,NA,2026-08-05 03:37:36.933166+00,11940
8925,0,NA,2026-08-05 03:37:37.798695+00,11921
160415411,0,NA,2026-08-05 03:37:37.798718+00,11916
178130545,0,NA,2026-08-05 03:37:37.798721+00,11912
13385140,0,NA,2026-08-05 03:37:37.798724+00,11909
8177,0,NA,2026-08-05 03:37:37.798729+00,11896
19109679,0,NA,2026-08-05 03:37:37.798731+00,11873
224987514,0,NA,2026-08-05 03:37:37.798734+00,11865
285615016,0,NA,2026-08-05 03:37:37.798736+00,11829
1385410,0,NA,2026-08-05 03:37:37.798739+00,11801
5687693,0,NA,2026-08-05 03:37:37.798741+00,11780
3287,0,NA,2026-08-05 03:37:37.798756+00,11770
4951489,0,NA,2026-08-05 03:37:37.798759+00,11765
10326,0,NA,2026-08-05 03:37:37.798763+00,11734
3357,0,NA,2026-08-05 03:37:37.798766+00,11686
9498,0,NA,2026-08-05 03:37:37.798768+00,11684
285925701,0,NA,2026-08-05 03:37:37.798771+00,11659
4487939,0,NA,2026-08-05 03:37:37.798773+00,11658
9786,0,NA,2026-08-05 03:37:37.798776+00,11642
801280,0,NA,2026-08-05 03:37:37.798779+00,11629
8778,0,NA,2026-08-05 03:37:37.798781+00,11622
10342,0,NA,2026-08-05 03:37:37.798784+00,11607
16990580,0,NA,2026-08-05 03:37:37.798786+00,11606
